Image n.,MSE,SSIM
0,18080.78206181534,0.17211530063558578
1,7606.880355046948,0.35679940541152994
2,16078.533651212832,0.12862188185146795
3,8938.557898082941,0.32569345564543917
4,13018.151203051642,0.22198092353956855
5,8257.22296068075,0.20803430383644006
6,8309.164050273865,0.33894227867422133
7,6858.538463419405,0.1126188247628428
8,6814.670711071987,0.1647390720495154
9,23981.751251956182,0.19984925508090312
10,6902.290121283255,0.2898578502498271
11,17441.477112676057,0.18700004181228644
12,14793.303526017215,0.19563205149429133
13,6433.4366979655715,0.25762254133831847
14,17877.659761345854,0.20643858731715467
15,9009.585186815337,0.2469438017406471
16,16198.724065923318,0.26066725349962916
17,18579.09298219875,0.2322624028662057
18,29815.28280516432,0.18596605955072265
19,9336.734634194054,0.244017456646856
20,13036.997261345852,0.2408159223069234
21,14194.689397496088,0.13215474295912255
22,8660.94079127543,0.29770267635403874
23,7845.351520931143,0.150928807795528
24,17973.48946596244,0.21538109226779287
25,5236.647403169014,0.2787210158765823
26,10157.539558881064,0.15030073157959506
27,8294.064108959312,0.09641301804806074
28,4658.999814162754,0.1270185732608056
29,8053.899462050078,0.21919260001815868
